SUBJECT;LABEL;DICE;
117122;Amygdala;0.452347084;0.570646881
117122;GreyMatter;0.491809012;
117122;Hippocampus;0.550512263;
117122;Thalamus;0.729197649;
117122;WhiteMatter;0.629368398;
118528;Amygdala;0.521421108;0.593048455
118528;GreyMatter;0.512847278;
118528;Hippocampus;0.585410669;
118528;Thalamus;0.707218397;
118528;WhiteMatter;0.638344822;
118730;Amygdala;0.71792669;0.652392091
118730;GreyMatter;0.542112572;
118730;Hippocampus;0.570120206;
118730;Thalamus;0.79376366;
118730;WhiteMatter;0.638037329;
118932;Amygdala;0.650214275;0.667416215
118932;GreyMatter;0.554110971;
118932;Hippocampus;0.658860759;
118932;Thalamus;0.809239301;
118932;WhiteMatter;0.664655767;
120111;Amygdala;0.571682992;0.614490279
120111;GreyMatter;0.503537826;
120111;Hippocampus;0.607296624;
120111;Thalamus;0.727556792;
120111;WhiteMatter;0.66237716;
122317;Amygdala;0.197802198;0.33977991
122317;GreyMatter;0.419127172;
122317;Hippocampus;0.132006286;
122317;Thalamus;0.451410658;
122317;WhiteMatter;0.498553238;
122620;Amygdala;0.579225935;0.602023086
122620;GreyMatter;0.501711051;
122620;Hippocampus;0.595654026;
122620;Thalamus;0.726622204;
122620;WhiteMatter;0.606902212;
123117;Amygdala;0.663104779;0.661046608
123117;GreyMatter;0.526401096;
123117;Hippocampus;0.653762976;
123117;Thalamus;0.78929786;
123117;WhiteMatter;0.67266633;
123925;Amygdala;0.656067833;0.676685135
123925;GreyMatter;0.529864145;
123925;Hippocampus;0.664318196;
123925;Thalamus;0.834186715;
123925;WhiteMatter;0.698988786;
124422;Amygdala;0.370688285;0.451577131
124422;GreyMatter;0.423498118;
124422;Hippocampus;0.381728002;
124422;Thalamus;0.569188446;
124422;WhiteMatter;0.512782806;
