SUBJECT;LABEL;DICE;TIMES
117122;Amygdala;0.528542018;
117122;GreyMatter;0.527615121;
117122;Hippocampus;0.626900737;
117122;Thalamus;0.812781048;
117122;WhiteMatter;0.663830792;
118528;Amygdala;0.59139204;4.823635583
118528;GreyMatter;0.540835393;
118528;Hippocampus;0.656925774;
118528;Thalamus;0.761163488;
118528;WhiteMatter;0.667507352;
118730;Amygdala;0.723252708;
118730;GreyMatter;0.548519902;
118730;Hippocampus;0.572990108;
118730;Thalamus;0.800405389;
118730;WhiteMatter;0.645399819;
118932;Amygdala;0.677940046;
118932;GreyMatter;0.560122387;
118932;Hippocampus;0.681805501;
118932;Thalamus;0.757281553;
118932;WhiteMatter;0.66557552;
120111;Amygdala;0.540459839;
120111;GreyMatter;0.50431265;
120111;Hippocampus;0.581055828;
120111;Thalamus;0.738590256;
120111;WhiteMatter;0.659439535;
122317;Amygdala;0.590283535;
122317;GreyMatter;0.507462159;
122317;Hippocampus;0.487890397;
122317;Thalamus;0.706954336;
122317;WhiteMatter;0.640180584;
122620;Amygdala;0.237164261;
122620;GreyMatter;0.419719592;
122620;Hippocampus;0.344804364;
122620;Thalamus;0.522614961;
122620;WhiteMatter;0.494187699;
123117;Amygdala;0.700264427;
123117;GreyMatter;0.559927105;
123117;Hippocampus;0.710258152;
123117;Thalamus;0.835554454;
123117;WhiteMatter;0.701560976;
123925;Amygdala;0.676882826;
123925;GreyMatter;0.549704974;
123925;Hippocampus;0.688274292;
123925;Thalamus;0.850652385;
123925;WhiteMatter;0.713558088;
124422;Amygdala;0.289767985;
124422;GreyMatter;0.469555756;
124422;Hippocampus;0.209654458;
124422;Thalamus;0.632925749;
124422;WhiteMatter;0.582916983;
