SUBJECT;LABEL;DICE;TIMES
117122;Amygdala;0.502969562;5.425550792
117122;GreyMatter;0.513386541;
117122;Hippocampus;0.597978227;
117122;Thalamus;0.764565217;
117122;WhiteMatter;0.650347422;
118528;Amygdala;0.590876437;4.983694125
118528;GreyMatter;0.546654659;
118528;Hippocampus;0.676992288;
118528;Thalamus;0.808410025;
118528;WhiteMatter;0.669489466;
118730;Amygdala;0.735983074;7.136105042
118730;GreyMatter;0.551285774;
118730;Hippocampus;0.576845765;
118730;Thalamus;0.809700928;
118730;WhiteMatter;0.647902098;
118932;Amygdala;0.671395528;6.7375435
118932;GreyMatter;0.569308287;
118932;Hippocampus;0.684907326;
118932;Thalamus;0.827559954;
118932;WhiteMatter;0.675759331;
120111;Amygdala;0.557481752;5.691368584
120111;GreyMatter;0.516779226;
120111;Hippocampus;0.652900804;
120111;Thalamus;0.745535856;
120111;WhiteMatter;0.672820342;
122317;Amygdala;0.638574748;5.434681291
122317;GreyMatter;0.530896233;
122317;Hippocampus;0.574412214;
122317;Thalamus;0.710524601;
122317;WhiteMatter;0.665291624;
122620;Amygdala;0.537458069;5.562870208
122620;GreyMatter;0.476306605;
122620;Hippocampus;0.623648649;
122620;Thalamus;0.800076234;
122620;WhiteMatter;0.621832406;
123117;Amygdala;0.705118293;6.7739325
123117;GreyMatter;0.560162386;
123117;Hippocampus;0.711982866;
123117;Thalamus;0.836542629;
123117;WhiteMatter;0.702671335;
123925;Amygdala;0.674340884;5.235210375
123925;GreyMatter;0.54806075;
123925;Hippocampus;0.690356689;
123925;Thalamus;0.848419618;
123925;WhiteMatter;0.712829165;
124422;Amygdala;0.582453826;5.556706292
124422;GreyMatter;0.485122942;
124422;Hippocampus;0.543300026;
124422;Thalamus;0.706051268;
124422;WhiteMatter;0.595072063;
;;;5.853766271
;;;0.743119298
