SUBJECT;LABEL;DICE
117122;Amygdala;0.33737003058103976
117122;GreyMatter;0.6537498269384092
117122;Hippocampus;0.4719509242069578
117122;Thalamus;0.6978151044180584
117122;WhiteMatter;0.8149048918919607
117122-PP;Amygdala;0.33737003058103976
117122-PP;GreyMatter;0.6537498269384092
117122-PP;Hippocampus;0.4719509242069578
117122-PP;Thalamus;0.6978151044180584
117122-PP;WhiteMatter;0.8149048918919607
118528;Amygdala;0.473015873015873
118528;GreyMatter;0.45125791235431467
118528;Hippocampus;0.4907345389595892
118528;Thalamus;0.7187358370849322
118528;WhiteMatter;0.6005040154354727
118528-PP;Amygdala;0.473015873015873
118528-PP;GreyMatter;0.45125791235431467
118528-PP;Hippocampus;0.4907345389595892
118528-PP;Thalamus;0.7187358370849322
118528-PP;WhiteMatter;0.6005040154354727
118730;Amygdala;0.43805864171748393
118730;GreyMatter;0.6526561828405792
118730;Hippocampus;0.38095238095238093
118730;Thalamus;0.6953591273924676
118730;WhiteMatter;0.8043013683356356
118730-PP;Amygdala;0.43805864171748393
118730-PP;GreyMatter;0.6526561828405792
118730-PP;Hippocampus;0.38095238095238093
118730-PP;Thalamus;0.6953591273924676
118730-PP;WhiteMatter;0.8043013683356356
118932;Amygdala;0.4451619029531858
118932;GreyMatter;0.6727229016268783
118932;Hippocampus;0.4264503290984234
118932;Thalamus;0.7465197064277692
118932;WhiteMatter;0.8275094507867635
118932-PP;Amygdala;0.4451619029531858
118932-PP;GreyMatter;0.6727229016268783
118932-PP;Hippocampus;0.4264503290984234
118932-PP;Thalamus;0.7465197064277692
118932-PP;WhiteMatter;0.8275094507867635
120111;Amygdala;0.552870090634441
120111;GreyMatter;0.6396276517332945
120111;Hippocampus;0.527216874872005
120111;Thalamus;0.7660546577544631
120111;WhiteMatter;0.7560300571787438
120111-PP;Amygdala;0.552870090634441
120111-PP;GreyMatter;0.6396276517332945
120111-PP;Hippocampus;0.527216874872005
120111-PP;Thalamus;0.7660546577544631
120111-PP;WhiteMatter;0.7560300571787438
122317;Amygdala;0.5817376579392992
122317;GreyMatter;0.6782720486716249
122317;Hippocampus;0.492893942085628
122317;Thalamus;0.6414792480694089
122317;WhiteMatter;0.7911656491739454
122317-PP;Amygdala;0.5817376579392992
122317-PP;GreyMatter;0.6782720486716249
122317-PP;Hippocampus;0.492893942085628
122317-PP;Thalamus;0.6414792480694089
122317-PP;WhiteMatter;0.7911656491739454
122620;Amygdala;0.45408398707891096
122620;GreyMatter;0.6688828978936566
122620;Hippocampus;0.3663451495975917
122620;Thalamus;0.6905662540119212
122620;WhiteMatter;0.7824253919223173
122620-PP;Amygdala;0.45408398707891096
122620-PP;GreyMatter;0.6688828978936566
122620-PP;Hippocampus;0.3663451495975917
122620-PP;Thalamus;0.6905662540119212
122620-PP;WhiteMatter;0.7824253919223173
123117;Amygdala;0.35037406483790523
123117;GreyMatter;0.5267552145556965
123117;Hippocampus;0.2243610148862466
123117;Thalamus;0.3645159673133805
123117;WhiteMatter;0.7225468940146312
123117-PP;Amygdala;0.35037406483790523
123117-PP;GreyMatter;0.5267552145556965
123117-PP;Hippocampus;0.2243610148862466
123117-PP;Thalamus;0.3645159673133805
123117-PP;WhiteMatter;0.7225468940146312
123925;Amygdala;0.5727699530516432
123925;GreyMatter;0.604880255860156
123925;Hippocampus;0.4383561643835616
123925;Thalamus;0.7126030624263839
123925;WhiteMatter;0.7321298180233025
123925-PP;Amygdala;0.5727699530516432
123925-PP;GreyMatter;0.604880255860156
123925-PP;Hippocampus;0.4383561643835616
123925-PP;Thalamus;0.7126030624263839
123925-PP;WhiteMatter;0.7321298180233025
124422;Amygdala;0.5964636542239685
124422;GreyMatter;0.5766332919620866
124422;Hippocampus;0.505337777965315
124422;Thalamus;0.7626577172545097
124422;WhiteMatter;0.6730444214752525
124422-PP;Amygdala;0.5964636542239685
124422-PP;GreyMatter;0.5766332919620866
124422-PP;Hippocampus;0.505337777965315
124422-PP;Thalamus;0.7626577172545097
124422-PP;WhiteMatter;0.6730444214752525
