SUBJECT;LABEL;DICE
117122;Amygdala;0.32626661875673735
117122;GreyMatter;0.6494684405852604
117122;Hippocampus;0.45816498646687326
117122;Thalamus;0.7003591585428425
117122;WhiteMatter;0.8198704313874138
117122-PP;Amygdala;0.32626661875673735
117122-PP;GreyMatter;0.6494684405852604
117122-PP;Hippocampus;0.45816498646687326
117122-PP;Thalamus;0.7003591585428425
117122-PP;WhiteMatter;0.8198704313874138
118528;Amygdala;0.48887293610911703
118528;GreyMatter;0.45353338305186036
118528;Hippocampus;0.4791256830601093
118528;Thalamus;0.7008833208244327
118528;WhiteMatter;0.6040557173786727
118528-PP;Amygdala;0.48887293610911703
118528-PP;GreyMatter;0.45353338305186036
118528-PP;Hippocampus;0.4791256830601093
118528-PP;Thalamus;0.7008833208244327
118528-PP;WhiteMatter;0.6040557173786727
118730;Amygdala;0.43313708999158956
118730;GreyMatter;0.6452742164568412
118730;Hippocampus;0.37080835898266645
118730;Thalamus;0.700953660868891
118730;WhiteMatter;0.8056154671375779
118730-PP;Amygdala;0.43313708999158956
118730-PP;GreyMatter;0.6452742164568412
118730-PP;Hippocampus;0.37080835898266645
118730-PP;Thalamus;0.700953660868891
118730-PP;WhiteMatter;0.8056154671375779
118932;Amygdala;0.43398003390469014
118932;GreyMatter;0.6677072141470624
118932;Hippocampus;0.41274532986521634
118932;Thalamus;0.743853047999791
118932;WhiteMatter;0.8308319791679428
118932-PP;Amygdala;0.43398003390469014
118932-PP;GreyMatter;0.6677072141470624
118932-PP;Hippocampus;0.41274532986521634
118932-PP;Thalamus;0.743853047999791
118932-PP;WhiteMatter;0.8308319791679428
120111;Amygdala;0.561514997458058
120111;GreyMatter;0.6403345075886899
120111;Hippocampus;0.5183789634024131
120111;Thalamus;0.7527223852758044
120111;WhiteMatter;0.7604939269618641
120111-PP;Amygdala;0.561514997458058
120111-PP;GreyMatter;0.6403345075886899
120111-PP;Hippocampus;0.5183789634024131
120111-PP;Thalamus;0.7527223852758044
120111-PP;WhiteMatter;0.7604939269618641
122317;Amygdala;0.5958803986710963
122317;GreyMatter;0.6775091055346243
122317;Hippocampus;0.4788338488919022
122317;Thalamus;0.6591306520109917
122317;WhiteMatter;0.7947887600546614
122317-PP;Amygdala;0.5958803986710963
122317-PP;GreyMatter;0.6775091055346243
122317-PP;Hippocampus;0.4788338488919022
122317-PP;Thalamus;0.6591306520109917
122317-PP;WhiteMatter;0.7947887600546614
122620;Amygdala;0.46027448417514705
122620;GreyMatter;0.6662538963709674
122620;Hippocampus;0.35403270794797265
122620;Thalamus;0.692643193437509
122620;WhiteMatter;0.786429319261823
122620-PP;Amygdala;0.46027448417514705
122620-PP;GreyMatter;0.6662538963709674
122620-PP;Hippocampus;0.35403270794797265
122620-PP;Thalamus;0.692643193437509
122620-PP;WhiteMatter;0.786429319261823
123117;Amygdala;0.3597546403250219
123117;GreyMatter;0.5192168247654536
123117;Hippocampus;0.2184497346909508
123117;Thalamus;0.3829440797842569
123117;WhiteMatter;0.7124527598946676
123117-PP;Amygdala;0.3597546403250219
123117-PP;GreyMatter;0.5192168247654536
123117-PP;Hippocampus;0.2184497346909508
123117-PP;Thalamus;0.3829440797842569
123117-PP;WhiteMatter;0.7124527598946676
123925;Amygdala;0.5927522565000674
123925;GreyMatter;0.6058783768034869
123925;Hippocampus;0.41938843836024103
123925;Thalamus;0.7137601177336277
123925;WhiteMatter;0.7390755101271911
123925-PP;Amygdala;0.5927522565000674
123925-PP;GreyMatter;0.6058783768034869
123925-PP;Hippocampus;0.41938843836024103
123925-PP;Thalamus;0.7137601177336277
123925-PP;WhiteMatter;0.7390755101271911
124422;Amygdala;0.6094934184284004
124422;GreyMatter;0.5808404232128923
124422;Hippocampus;0.4930930683270793
124422;Thalamus;0.7617774382480265
124422;WhiteMatter;0.6767476981110633
124422-PP;Amygdala;0.6094934184284004
124422-PP;GreyMatter;0.5808404232128923
124422-PP;Hippocampus;0.4930930683270793
124422-PP;Thalamus;0.7617774382480265
124422-PP;WhiteMatter;0.6767476981110633
