SUBJECT;LABEL;DICE
117122;Amygdala;0.3080864335041212
117122;GreyMatter;0.7031433610522422
117122;Hippocampus;0.43015797382985743
117122;Thalamus;0.6818798569137782
117122;WhiteMatter;0.8303243673140542
117122-PP;Amygdala;0.3080864335041212
117122-PP;GreyMatter;0.7031433610522422
117122-PP;Hippocampus;0.43015797382985743
117122-PP;Thalamus;0.6818798569137782
117122-PP;WhiteMatter;0.8303243673140542
118528;Amygdala;0.47998768472906406
118528;GreyMatter;0.5192547061188809
118528;Hippocampus;0.47464486624306934
118528;Thalamus;0.6717608531362835
118528;WhiteMatter;0.6097631377226737
118528-PP;Amygdala;0.47998768472906406
118528-PP;GreyMatter;0.5192547061188809
118528-PP;Hippocampus;0.47464486624306934
118528-PP;Thalamus;0.6717608531362835
118528-PP;WhiteMatter;0.6097631377226737
118730;Amygdala;0.4416483702077352
118730;GreyMatter;0.6774610078988665
118730;Hippocampus;0.3513191929643042
118730;Thalamus;0.6719140429785108
118730;WhiteMatter;0.8259662112290675
118730-PP;Amygdala;0.4416483702077352
118730-PP;GreyMatter;0.6774610078988665
118730-PP;Hippocampus;0.3513191929643042
118730-PP;Thalamus;0.6719140429785108
118730-PP;WhiteMatter;0.8259662112290675
118932;Amygdala;0.43708122992198256
118932;GreyMatter;0.7022240789430771
118932;Hippocampus;0.3881917187240865
118932;Thalamus;0.7324359398457976
118932;WhiteMatter;0.8395848363686218
118932-PP;Amygdala;0.43708122992198256
118932-PP;GreyMatter;0.7022240789430771
118932-PP;Hippocampus;0.3881917187240865
118932-PP;Thalamus;0.7324359398457976
118932-PP;WhiteMatter;0.8395848363686218
120111;Amygdala;0.5347993917417242
120111;GreyMatter;0.6839848271796036
120111;Hippocampus;0.49914072942524346
120111;Thalamus;0.7273162939297124
120111;WhiteMatter;0.7613919149440429
120111-PP;Amygdala;0.5347993917417242
120111-PP;GreyMatter;0.6839848271796036
120111-PP;Hippocampus;0.49914072942524346
120111-PP;Thalamus;0.7273162939297124
120111-PP;WhiteMatter;0.7613919149440429
122317;Amygdala;0.5475180843103018
122317;GreyMatter;0.7155736448567065
122317;Hippocampus;0.453421863125475
122317;Thalamus;0.6198954110112227
122317;WhiteMatter;0.8056634783947142
122317-PP;Amygdala;0.5475180843103018
122317-PP;GreyMatter;0.7155736448567065
122317-PP;Hippocampus;0.453421863125475
122317-PP;Thalamus;0.6198954110112227
122317-PP;WhiteMatter;0.8056634783947142
122620;Amygdala;0.4704874333587205
122620;GreyMatter;0.7111926765442111
122620;Hippocampus;0.34272887423992726
122620;Thalamus;0.6866761419056377
122620;WhiteMatter;0.8167120418277724
122620-PP;Amygdala;0.4704874333587205
122620-PP;GreyMatter;0.7111926765442111
122620-PP;Hippocampus;0.34272887423992726
122620-PP;Thalamus;0.6866761419056377
122620-PP;WhiteMatter;0.8167120418277724
123117;Amygdala;0.3936608557844691
123117;GreyMatter;0.6069950627520446
123117;Hippocampus;0.22171055074831952
123117;Thalamus;0.3973610373853037
123117;WhiteMatter;0.7367679125378075
123117-PP;Amygdala;0.3936608557844691
123117-PP;GreyMatter;0.6069950627520446
123117-PP;Hippocampus;0.22171055074831952
123117-PP;Thalamus;0.3973610373853037
123117-PP;WhiteMatter;0.7367679125378075
123925;Amygdala;0.554040404040404
123925;GreyMatter;0.6882166890577086
123925;Hippocampus;0.4010053453219583
123925;Thalamus;0.7014548651484643
123925;WhiteMatter;0.7752674915803162
123925-PP;Amygdala;0.554040404040404
123925-PP;GreyMatter;0.6882166890577086
123925-PP;Hippocampus;0.4010053453219583
123925-PP;Thalamus;0.7014548651484643
123925-PP;WhiteMatter;0.7752674915803162
124422;Amygdala;0.5835392980721701
124422;GreyMatter;0.6445827883860842
124422;Hippocampus;0.47256992736825837
124422;Thalamus;0.7391692582442959
124422;WhiteMatter;0.698032444713928
124422-PP;Amygdala;0.5835392980721701
124422-PP;GreyMatter;0.6445827883860842
124422-PP;Hippocampus;0.47256992736825837
124422-PP;Thalamus;0.7391692582442959
124422-PP;WhiteMatter;0.698032444713928
