SUBJECT;LABEL;DICE
117122;Amygdala;0.3919557295181536
117122;GreyMatter;0.7312187633132162
117122;Hippocampus;0.49046757291359794
117122;Thalamus;0.7258238348737712
117122;WhiteMatter;0.7984556078165156
117122-PP;Amygdala;0.3919557295181536
117122-PP;GreyMatter;0.7312187633132162
117122-PP;Hippocampus;0.49046757291359794
117122-PP;Thalamus;0.7258238348737712
117122-PP;WhiteMatter;0.7984556078165156
118528;Amygdala;0.46461321420173995
118528;GreyMatter;0.7277549562614579
118528;Hippocampus;0.4666426772220223
118528;Thalamus;0.6764909176366501
118528;WhiteMatter;0.7865186815407573
118528-PP;Amygdala;0.46461321420173995
118528-PP;GreyMatter;0.7277549562614579
118528-PP;Hippocampus;0.4666426772220223
118528-PP;Thalamus;0.6764909176366501
118528-PP;WhiteMatter;0.7865186815407573
118730;Amygdala;0.4531711555169418
118730;GreyMatter;0.7190009124435054
118730;Hippocampus;0.4149438865918488
118730;Thalamus;0.6605358819422711
118730;WhiteMatter;0.8555085405934767
118730-PP;Amygdala;0.4531711555169418
118730-PP;GreyMatter;0.7190009124435054
118730-PP;Hippocampus;0.4149438865918488
118730-PP;Thalamus;0.6605358819422711
118730-PP;WhiteMatter;0.8555085405934767
118932;Amygdala;0.4033377250768555
118932;GreyMatter;0.7225451697632413
118932;Hippocampus;0.4036441710671386
118932;Thalamus;0.7000942787674291
118932;WhiteMatter;0.8601551539159858
118932-PP;Amygdala;0.4033377250768555
118932-PP;GreyMatter;0.7225451697632413
118932-PP;Hippocampus;0.4036441710671386
118932-PP;Thalamus;0.7000942787674291
118932-PP;WhiteMatter;0.8601551539159858
120111;Amygdala;0.45331662339987466
120111;GreyMatter;0.7125189372402434
120111;Hippocampus;0.44219624791277873
120111;Thalamus;0.7092161840128477
120111;WhiteMatter;0.8668756290063493
120111-PP;Amygdala;0.45331662339987466
120111-PP;GreyMatter;0.7125189372402434
120111-PP;Hippocampus;0.44219624791277873
120111-PP;Thalamus;0.7092161840128477
120111-PP;WhiteMatter;0.8668756290063493
122317;Amygdala;0.4915980994321474
122317;GreyMatter;0.731900643221777
122317;Hippocampus;0.43675950146176334
122317;Thalamus;0.6220095693779905
122317;WhiteMatter;0.8563025651749461
122317-PP;Amygdala;0.4915980994321474
122317-PP;GreyMatter;0.731900643221777
122317-PP;Hippocampus;0.43675950146176334
122317-PP;Thalamus;0.6220095693779905
122317-PP;WhiteMatter;0.8563025651749461
122620;Amygdala;0.5172085142433549
122620;GreyMatter;0.7361929887635897
122620;Hippocampus;0.37197638245190784
122620;Thalamus;0.6810011376564278
122620;WhiteMatter;0.7806007588267178
122620-PP;Amygdala;0.5172085142433549
122620-PP;GreyMatter;0.7361929887635897
122620-PP;Hippocampus;0.37197638245190784
122620-PP;Thalamus;0.6810011376564278
122620-PP;WhiteMatter;0.7806007588267178
123117;Amygdala;0.4280794701986755
123117;GreyMatter;0.7020161771623965
123117;Hippocampus;0.2874234573716439
123117;Thalamus;0.40433569541492803
123117;WhiteMatter;0.8576206837181299
123117-PP;Amygdala;0.4280794701986755
123117-PP;GreyMatter;0.7020161771623965
123117-PP;Hippocampus;0.2874234573716439
123117-PP;Thalamus;0.40433569541492803
123117-PP;WhiteMatter;0.8576206837181299
123925;Amygdala;0.5690930323082911
123925;GreyMatter;0.7060523315276167
123925;Hippocampus;0.43450650344299924
123925;Thalamus;0.7327565343659245
123925;WhiteMatter;0.7786613751511765
123925-PP;Amygdala;0.5690930323082911
123925-PP;GreyMatter;0.7060523315276167
123925-PP;Hippocampus;0.43450650344299924
123925-PP;Thalamus;0.7327565343659245
123925-PP;WhiteMatter;0.7786613751511765
124422;Amygdala;0.5653065876453157
124422;GreyMatter;0.7083272616477009
124422;Hippocampus;0.4822267460068901
124422;Thalamus;0.764229723244281
124422;WhiteMatter;0.7598798999740464
124422-PP;Amygdala;0.5653065876453157
124422-PP;GreyMatter;0.7083272616477009
124422-PP;Hippocampus;0.4822267460068901
124422-PP;Thalamus;0.764229723244281
124422-PP;WhiteMatter;0.7598798999740464
