SUBJECT;LABEL;DICE
117122;Amygdala;0.36731369621284105
117122;GreyMatter;0.743861363562331
117122;Hippocampus;0.47342479257372877
117122;Thalamus;0.7398340813273494
117122;WhiteMatter;0.8144148197220561
117122-PP;Amygdala;0.36731369621284105
117122-PP;GreyMatter;0.743861363562331
117122-PP;Hippocampus;0.47342479257372877
117122-PP;Thalamus;0.7398340813273494
117122-PP;WhiteMatter;0.8144148197220561
118528;Amygdala;0.46519402985074626
118528;GreyMatter;0.7382403976681654
118528;Hippocampus;0.4475883803781858
118528;Thalamus;0.7232943411911407
118528;WhiteMatter;0.8314456380567781
118528-PP;Amygdala;0.46519402985074626
118528-PP;GreyMatter;0.7382403976681654
118528-PP;Hippocampus;0.4475883803781858
118528-PP;Thalamus;0.7232943411911407
118528-PP;WhiteMatter;0.8314456380567781
118730;Amygdala;0.5000476054460631
118730;GreyMatter;0.7388152858880923
118730;Hippocampus;0.43109103286094436
118730;Thalamus;0.6838098544399533
118730;WhiteMatter;0.8248638534912452
118730-PP;Amygdala;0.5000476054460631
118730-PP;GreyMatter;0.7388152858880923
118730-PP;Hippocampus;0.43109103286094436
118730-PP;Thalamus;0.6838098544399533
118730-PP;WhiteMatter;0.8248638534912452
118932;Amygdala;0.4656
118932;GreyMatter;0.7433565659918132
118932;Hippocampus;0.4309310694841746
118932;Thalamus;0.7166548690464152
118932;WhiteMatter;0.8442967132716432
118932-PP;Amygdala;0.4656
118932-PP;GreyMatter;0.7433565659918132
118932-PP;Hippocampus;0.4309310694841746
118932-PP;Thalamus;0.7166548690464152
118932-PP;WhiteMatter;0.8442967132716432
120111;Amygdala;0.4713025329665117
120111;GreyMatter;0.7249296138243015
120111;Hippocampus;0.45595437772559544
120111;Thalamus;0.7343885047536733
120111;WhiteMatter;0.8625202489555802
120111-PP;Amygdala;0.4713025329665117
120111-PP;GreyMatter;0.7249296138243015
120111-PP;Hippocampus;0.45595437772559544
120111-PP;Thalamus;0.7343885047536733
120111-PP;WhiteMatter;0.8625202489555802
122317;Amygdala;0.555596876162142
122317;GreyMatter;0.7447709369531496
122317;Hippocampus;0.4554001738168602
122317;Thalamus;0.6471654780611629
122317;WhiteMatter;0.8389170494460957
122317-PP;Amygdala;0.555596876162142
122317-PP;GreyMatter;0.7447709369531496
122317-PP;Hippocampus;0.4554001738168602
122317-PP;Thalamus;0.6471654780611629
122317-PP;WhiteMatter;0.8389170494460957
122620;Amygdala;0.529877453638434
122620;GreyMatter;0.7525595537769959
122620;Hippocampus;0.38303590961652656
122620;Thalamus;0.7034515144400094
122620;WhiteMatter;0.8119079517070205
122620-PP;Amygdala;0.529877453638434
122620-PP;GreyMatter;0.7525595537769959
122620-PP;Hippocampus;0.38303590961652656
122620-PP;Thalamus;0.7034515144400094
122620-PP;WhiteMatter;0.8119079517070205
123117;Amygdala;0.44506883956167465
123117;GreyMatter;0.7160129164684973
123117;Hippocampus;0.2942996905261056
123117;Thalamus;0.378393351800554
123117;WhiteMatter;0.8556752771988373
123117-PP;Amygdala;0.44506883956167465
123117-PP;GreyMatter;0.7160129164684973
123117-PP;Hippocampus;0.2942996905261056
123117-PP;Thalamus;0.378393351800554
123117-PP;WhiteMatter;0.8556752771988373
123925;Amygdala;0.5778537611783272
123925;GreyMatter;0.7342794754693299
123925;Hippocampus;0.40267484747164867
123925;Thalamus;0.750711596731246
123925;WhiteMatter;0.8331828122036419
123925-PP;Amygdala;0.5778537611783272
123925-PP;GreyMatter;0.7342794754693299
123925-PP;Hippocampus;0.40267484747164867
123925-PP;Thalamus;0.750711596731246
123925-PP;WhiteMatter;0.8331828122036419
124422;Amygdala;0.5625073090866566
124422;GreyMatter;0.729894951837065
124422;Hippocampus;0.47539291040495585
124422;Thalamus;0.7893934371892608
124422;WhiteMatter;0.7811102713878771
124422-PP;Amygdala;0.5625073090866566
124422-PP;GreyMatter;0.729894951837065
124422-PP;Hippocampus;0.47539291040495585
124422-PP;Thalamus;0.7893934371892608
124422-PP;WhiteMatter;0.7811102713878771
