SUBJECT;LABEL;DICE
117122;Amygdala;0.3819736663499389
117122;GreyMatter;0.7417968800681594
117122;Hippocampus;0.472381416900378
117122;Thalamus;0.7339577520924672
117122;WhiteMatter;0.8188450959683228
117122-PP;Amygdala;0.3819736663499389
117122-PP;GreyMatter;0.7417968800681594
117122-PP;Hippocampus;0.472381416900378
117122-PP;Thalamus;0.7339577520924672
117122-PP;WhiteMatter;0.8188450959683228
118528;Amygdala;0.4580652707919055
118528;GreyMatter;0.738102148326168
118528;Hippocampus;0.4428547211391761
118528;Thalamus;0.7097449617588042
118528;WhiteMatter;0.8309924411561265
118528-PP;Amygdala;0.4580652707919055
118528-PP;GreyMatter;0.738102148326168
118528-PP;Hippocampus;0.4428547211391761
118528-PP;Thalamus;0.7097449617588042
118528-PP;WhiteMatter;0.8309924411561265
118730;Amygdala;0.47848568790397045
118730;GreyMatter;0.7392919459205036
118730;Hippocampus;0.42813818977645773
118730;Thalamus;0.6817621232302303
118730;WhiteMatter;0.8267164951789296
118730-PP;Amygdala;0.47848568790397045
118730-PP;GreyMatter;0.7392919459205036
118730-PP;Hippocampus;0.42813818977645773
118730-PP;Thalamus;0.6817621232302303
118730-PP;WhiteMatter;0.8267164951789296
118932;Amygdala;0.42535157002504337
118932;GreyMatter;0.7429907497108007
118932;Hippocampus;0.43688076261915926
118932;Thalamus;0.7236782075328231
118932;WhiteMatter;0.8486150787365018
118932-PP;Amygdala;0.42535157002504337
118932-PP;GreyMatter;0.7429907497108007
118932-PP;Hippocampus;0.43688076261915926
118932-PP;Thalamus;0.7236782075328231
118932-PP;WhiteMatter;0.8486150787365018
120111;Amygdala;0.45946197523969096
120111;GreyMatter;0.7227178266911999
120111;Hippocampus;0.4516601237607293
120111;Thalamus;0.7334454319801426
120111;WhiteMatter;0.8625657164725727
120111-PP;Amygdala;0.45946197523969096
120111-PP;GreyMatter;0.7227178266911999
120111-PP;Hippocampus;0.4516601237607293
120111-PP;Thalamus;0.7334454319801426
120111-PP;WhiteMatter;0.8625657164725727
122317;Amygdala;0.5504431224960544
122317;GreyMatter;0.7462937949512688
122317;Hippocampus;0.457756315600431
122317;Thalamus;0.6404114709488352
122317;WhiteMatter;0.8391081285853448
122317-PP;Amygdala;0.5504431224960544
122317-PP;GreyMatter;0.7462937949512688
122317-PP;Hippocampus;0.457756315600431
122317-PP;Thalamus;0.6404114709488352
122317-PP;WhiteMatter;0.8391081285853448
122620;Amygdala;0.5078076202373517
122620;GreyMatter;0.7505369258069766
122620;Hippocampus;0.3826472450918303
122620;Thalamus;0.6928085660541167
122620;WhiteMatter;0.8134812063715805
122620-PP;Amygdala;0.5078076202373517
122620-PP;GreyMatter;0.7505369258069766
122620-PP;Hippocampus;0.3826472450918303
122620-PP;Thalamus;0.6928085660541167
122620-PP;WhiteMatter;0.8134812063715805
123117;Amygdala;0.42833993518185093
123117;GreyMatter;0.7147689662391811
123117;Hippocampus;0.30509160846239497
123117;Thalamus;0.3828019420391411
123117;WhiteMatter;0.8606193346922844
123117-PP;Amygdala;0.42833993518185093
123117-PP;GreyMatter;0.7147689662391811
123117-PP;Hippocampus;0.30509160846239497
123117-PP;Thalamus;0.3828019420391411
123117-PP;WhiteMatter;0.8606193346922844
123925;Amygdala;0.5629533678756476
123925;GreyMatter;0.7345696943752198
123925;Hippocampus;0.4059311562224184
123925;Thalamus;0.7393284352419698
123925;WhiteMatter;0.8303774113223397
123925-PP;Amygdala;0.5629533678756476
123925-PP;GreyMatter;0.7345696943752198
123925-PP;Hippocampus;0.4059311562224184
123925-PP;Thalamus;0.7393284352419698
123925-PP;WhiteMatter;0.8303774113223397
124422;Amygdala;0.5606982887332032
124422;GreyMatter;0.7301900770606166
124422;Hippocampus;0.46511627906976744
124422;Thalamus;0.7775888009419768
124422;WhiteMatter;0.783279623596069
124422-PP;Amygdala;0.5606982887332032
124422-PP;GreyMatter;0.7301900770606166
124422-PP;Hippocampus;0.46511627906976744
124422-PP;Thalamus;0.7775888009419768
124422-PP;WhiteMatter;0.783279623596069
