SUBJECT;LABEL;DICE;TIMES
117122;Amygdala;0.353679711;191.330531
117122;GreyMatter;0.743304543;
117122;Hippocampus;0.476712555;
117122;Thalamus;0.739028498;
117122;WhiteMatter;0.817602462;
117122-PP;Amygdala;0.353679711;
117122-PP;GreyMatter;0.743304543;
117122-PP;Hippocampus;0.476712555;
117122-PP;Thalamus;0.739028498;
117122-PP;WhiteMatter;0.817602462;
118528;Amygdala;0.439687394;193.727998
118528;GreyMatter;0.738259304;
118528;Hippocampus;0.445210388;
118528;Thalamus;0.698405454;
118528;WhiteMatter;0.833309813;
118528-PP;Amygdala;0.439687394;
118528-PP;GreyMatter;0.738259304;
118528-PP;Hippocampus;0.445210388;
118528-PP;Thalamus;0.698405454;
118528-PP;WhiteMatter;0.833309813;
118730;Amygdala;0.486898346;205.4583447
118730;GreyMatter;0.739942476;
118730;Hippocampus;0.432284371;
118730;Thalamus;0.678505129;
118730;WhiteMatter;0.826795642;
118730-PP;Amygdala;0.486898346;
118730-PP;GreyMatter;0.739942476;
118730-PP;Hippocampus;0.432284371;
118730-PP;Thalamus;0.678505129;
118730-PP;WhiteMatter;0.826795642;
118932;Amygdala;0.435626273;205.0466006
118932;GreyMatter;0.743263057;
118932;Hippocampus;0.440379147;
118932;Thalamus;0.719724055;
118932;WhiteMatter;0.845092365;
118932-PP;Amygdala;0.435626273;
118932-PP;GreyMatter;0.743263057;
118932-PP;Hippocampus;0.440379147;
118932-PP;Thalamus;0.719724055;
118932-PP;WhiteMatter;0.845092365;
120111;Amygdala;0.46212758;197.8908086
120111;GreyMatter;0.726776018;
120111;Hippocampus;0.453301046;
120111;Thalamus;0.72551964;
120111;WhiteMatter;0.860848901;
120111-PP;Amygdala;0.46212758;
120111-PP;GreyMatter;0.726776018;
120111-PP;Hippocampus;0.453301046;
120111-PP;Thalamus;0.72551964;
120111-PP;WhiteMatter;0.860848901;
122317;Amygdala;0.519161244;201.040806
122317;GreyMatter;0.747472768;
122317;Hippocampus;0.4593491;
122317;Thalamus;0.648089782;
122317;WhiteMatter;0.837537233;
122317-PP;Amygdala;0.519161244;
122317-PP;GreyMatter;0.747472768;
122317-PP;Hippocampus;0.4593491;
122317-PP;Thalamus;0.648089782;
122317-PP;WhiteMatter;0.837537233;
122620;Amygdala;0.509844775;194.2607183
122620;GreyMatter;0.75023866;
122620;Hippocampus;0.385683256;
122620;Thalamus;0.693715195;
122620;WhiteMatter;0.813715643;
122620-PP;Amygdala;0.509844775;
122620-PP;GreyMatter;0.75023866;
122620-PP;Hippocampus;0.385683256;
122620-PP;Thalamus;0.693715195;
122620-PP;WhiteMatter;0.813715643;
123117;Amygdala;0.42166065;203.8221735
123117;GreyMatter;0.715741658;
123117;Hippocampus;0.300895221;
123117;Thalamus;0.38828596;
123117;WhiteMatter;0.856762978;
123117-PP;Amygdala;0.42166065;
123117-PP;GreyMatter;0.715741658;
123117-PP;Hippocampus;0.300895221;
123117-PP;Thalamus;0.38828596;
123117-PP;WhiteMatter;0.856762978;
123925;Amygdala;0.553726279;187.5197347
123925;GreyMatter;0.734262916;
123925;Hippocampus;0.401156915;
123925;Thalamus;0.738897283;
123925;WhiteMatter;0.83271368;
123925-PP;Amygdala;0.553726279;
123925-PP;GreyMatter;0.734262916;
123925-PP;Hippocampus;0.401156915;
123925-PP;Thalamus;0.738897283;
123925-PP;WhiteMatter;0.83271368;
124422;Amygdala;0.544916316;192.8033102
124422;GreyMatter;0.729901943;
124422;Hippocampus;0.469532965;
124422;Thalamus;0.778175542;
124422;WhiteMatter;0.781088226;
124422-PP;Amygdala;0.544916316;
124422-PP;GreyMatter;0.729901943;
124422-PP;Hippocampus;0.469532965;
124422-PP;Thalamus;0.778175542;
124422-PP;WhiteMatter;0.781088226;
;;;197.2901026
;;;6.297739111
